paradigm,filter,threads,width,height,pixels,mean_s,stddev_s,min_s,max_s,warmup,timed
omp_dynamic,histeq,8,6000,3376,20256000,1.044426,0.025063,1.013327,1.079321,2,5
omp_guided,histeq,1,6000,3376,20256000,0.061134,0.012884,0.045400,0.083402,2,5
omp_guided,histeq,2,6000,3376,20256000,0.030461,0.005296,0.020490,0.035563,2,5
omp_guided,histeq,4,6000,3376,20256000,0.021230,0.004522,0.017767,0.030046,2,5
omp_guided,histeq,8,6000,3376,20256000,0.014581,0.002666,0.009585,0.016800,2,5
pthread,blur,1,6000,3376,20256000,1.043043,0.108336,0.962206,1.253647,2,5
pthread,blur,2,6000,3376,20256000,0.666720,0.176982,0.469204,0.896341,2,5
pthread,blur,4,6000,3376,20256000,0.269525,0.013148,0.249024,0.283321,2,5
pthread,blur,8,6000,3376,20256000,0.280988,0.106740,0.187098,0.473875,2,5
pthread,sobel,1,6000,3376,20256000,0.864571,0.196227,0.647114,1.230358,2,5
pthread,sobel,2,6000,3376,20256000,0.655862,0.175514,0.329759,0.814719,2,5
pthread,sobel,4,6000,3376,20256000,0.453404,0.104117,0.246783,0.529115,2,5
pthread,sobel,8,6000,3376,20256000,0.157896,0.005293,0.152053,0.165243,2,5
pthread,sharp,1,6000,3376,20256000,1.507711,0.199262,1.218610,1.791639,2,5
pthread,sharp,2,6000,3376,20256000,0.680453,0.186533,0.504270,1.039283,2,5
pthread,sharp,4,6000,3376,20256000,0.349609,0.055296,0.301620,0.450999,2,5
pthread,sharp,8,6000,3376,20256000,0.259959,0.032446,0.213540,0.296817,2,5
pthread,bc,1,6000,3376,20256000,0.139283,0.025316,0.113833,0.178928,2,5
pthread,bc,2,6000,3376,20256000,0.059823,0.001228,0.057847,0.060988,2,5
pthread,bc,4,6000,3376,20256000,0.033257,0.002584,0.029250,0.036770,2,5
pthread,bc,8,6000,3376,20256000,0.028090,0.005853,0.020893,0.035815,2,5
pthread,histeq,1,6000,3376,20256000,0.103131,0.011039,0.081489,0.112248,2,5
pthread,histeq,2,6000,3376,20256000,0.032802,0.003756,0.027929,0.038031,2,5
pthread,histeq,4,6000,3376,20256000,0.031127,0.003793,0.027751,0.038036,2,5
pthread,histeq,8,6000,3376,20256000,0.030282,0.000641,0.029301,0.031015,2,5
mpi,blur,1,6000,3376,20256000,1.197293,0.093767,1.066788,1.335762,2,5
mpi,sobel,1,6000,3376,20256000,0.730012,0.107654,0.628407,0.936305,2,5
mpi,sharp,1,6000,3376,20256000,1.200049,0.169999,1.066611,1.492854,2,5
mpi,bc,1,6000,3376,20256000,0.098149,0.032022,0.069599,0.154879,2,5
mpi,histeq,1,6000,3376,20256000,0.085460,0.016134,0.068087,0.106411,2,5
mpi,blur,2,6000,3376,20256000,0.483884,0.060207,0.412633,0.579318,2,5
mpi,sobel,2,6000,3376,20256000,0.273656,0.010949,0.257483,0.287585,2,5
mpi,sharp,2,6000,3376,20256000,0.684775,0.115346,0.545258,0.890391,2,5
mpi,bc,2,6000,3376,20256000,0.067689,0.013319,0.049377,0.090535,2,5
mpi,histeq,2,6000,3376,20256000,0.072733,0.024422,0.051839,0.119615,2,5
mpi,blur,4,6000,3376,20256000,0.303581,0.012577,0.289404,0.326305,2,5
mpi,sobel,4,6000,3376,20256000,0.160901,0.020243,0.142650,0.191824,2,5
mpi,sharp,4,6000,3376,20256000,0.501478,0.149232,0.373902,0.787986,2,5
mpi,bc,4,6000,3376,20256000,0.022524,0.000776,0.021332,0.023489,2,5
mpi,histeq,4,6000,3376,20256000,0.023569,0.002074,0.019866,0.025973,2,5
mpi,blur,8,6000,3376,20256000,0.301169,0.077855,0.213293,0.409936,2,5
mpi,sobel,8,6000,3376,20256000,0.116218,0.029026,0.091858,0.172987,2,5
mpi,sharp,8,6000,3376,20256000,0.674276,0.163622,0.472868,0.924779,2,5
mpi,bc,8,6000,3376,20256000,0.028191,0.003628,0.023521,0.033509,2,5
mpi,histeq,8,6000,3376,20256000,0.056979,0.009509,0.041813,0.069680,2,5
